serial_number,terminal_id,deployment_date
0822244138,87195,2021-09-23
0822210553,900908,2025-07-20
0821578615,796488,2024-07-02
0821929702,46394,2021-03-28
1850082591,860019,2025-03-04
0821895692,826278,2024-11-10
0822238791,76041,2021-08-17
0821537933,435398,2022-12-22
0821936135,706956,2023-11-28
0821536249,773711,2024-03-21
0821873800,89026,2021-09-30
1850080741,703849,2023-11-16
0821585951,798169,2024-07-09
0821580806,354310,2022-10-22
1850075936,674009,2023-09-26
0822244138,784196,2024-05-07
0821897829,797812,2024-07-08
0822239689,71747,2021-07-25
0822253328,86388,2021-09-21
0821705244,814813,2024-09-22
0821705498,819747,2024-10-15
0821897636,702244,2023-11-11
1850048956,104308,2021-12-06
0822242022,773388,2024-03-20
0821895422,63410,2021-06-02
1850052871,159789,2022-06-20
0821543257,91409,2021-10-11
0821745301,165838,2022-07-01
1850047674,869885,2025-04-09
1850079027,274600,2022-09-04
1850037245,787472,2024-05-20
0822297672,256482,2022-08-28
0822236635,107940,2021-12-25
0822319833,659819,2023-09-06
0821537026,770699,2024-03-08
1850076189,99741,2021-11-14
1850048577,118087,2022-02-18
0822319282,331604,2022-10-04
1850082209,89597,2021-10-03
0821897636,108114,2021-12-27
0821578469,112885,2022-01-25
1850031521,456751,2023-01-24
0822298660,828619,2024-11-18
0822253084,82019,2021-09-02
1850035014,146764,2022-06-05
0821570117,153360,2022-06-12
0821546063,155868,2022-06-14
0821745616,860385,2025-03-05
0822297574,494254,2023-03-15
0821543577,639226,2023-08-07
0821930144,893982,2025-06-29
0821543471,24903,2020-11-29
0821799242,439494,2022-12-29
0821589962,317174,2022-09-24
0821931194,28586,2021-01-07
0821539997,112878,2022-01-25
0822320146,764669,2024-02-12
0821929675,29188,2021-01-12
1850080183,101642,2021-11-22
0821870960,93878,2021-10-20
0822062701,128317,2022-04-06
1850080962,98517,2021-11-08
0821936709,822797,2024-10-28
0821543064,20149,2020-11-15
0821895692,706930,2023-11-28
0822320146,135767,2022-05-18
0821586954,26448,2020-12-23
0821541414,133651,2022-05-10
0822237278,88854,2021-09-30
1850074233,124109,2022-03-15
1850082673,116572,2022-02-12
0821589599,26266,2020-12-21
V9E0010249,857558,2025-02-25
0821936178,42469,2021-03-09
0822315577,138682,2022-05-25
0821892531,52142,2021-04-20
0821898283,707577,2023-11-30
0822312325,820222,2024-10-17
0821900747,879322,2025-05-14
V9E0011733,886221,2025-05-31
0821211449,468590,2023-02-14
0822244307,835451,2024-12-10
0821927378,48542,2021-04-08
0821708112,886906,2025-06-02
0822238786,822803,2024-10-28
0822239947,890533,2025-06-17
0821930380,891752,2025-06-22
0822240986,904210,2025-07-29
0821580232,902935,2025-07-26
0822211077,916861,2025-09-08
0821893191,131163,2022-04-19
0821705701,858871,2025-02-28
0822061181,870363,2025-04-11
0822319918,840637,2024-12-29
0822238043,144131,2022-06-01
0822253604,87291,2021-09-23
0822061983,135115,2022-05-16
0822060684,72301,2021-07-29
0822235545,355400,2022-10-23
0821570103,31248,2021-01-25
V9E0012586,855348,2025-02-19
V9E0013222,855303,2025-02-19
0822313262,85282,2021-09-16
0821587026,111236,2022-01-16
0821586054,81819,2021-09-01
0821707338,789508,2024-05-28
0821536863,900796,2025-07-20
0821893780,145160,2022-06-02
1850049856,808853,2024-08-27
0821386152,169443,2022-07-07
1850048469,603758,2023-06-23
1850034451,850011,2025-02-03
0821589407,408079,2022-11-15
V9E0017734,878382,2025-05-12
0821931999,790540,2024-06-02
0821539192,861568,2025-03-09
0821934095,118306,2022-02-20
1850041626,125666,2022-03-22
0821873263,846944,2025-01-22
0822059054,910639,2025-08-17
0821587161,829868,2024-11-21
0821542522,105539,2021-12-13
0822236711,415364,2022-11-22
0822317794,885682,2025-05-29
0821706363,424462,2022-12-05
0821579983,123607,2022-03-14
0821592970,114710,2022-02-02
0821350425,784875,2024-05-08
0822320181,877222,2025-05-08
1850042094,152450,2022-06-11
0821708087,503046,2023-03-29
0822236711,73402,2021-08-03
0821591165,19058,2020-11-10
0822311198,83408,2021-09-09
0822235187,106261,2021-12-16
0822236011,811699,2024-09-08
0821892759,319884,2022-09-26
0822233935,74535,2021-08-09
0821896841,73094,2021-08-02
0822213112,70112,2021-07-06
0822213112,91505,2021-10-12
0821590593,126357,2022-03-24
0822060890,232212,2022-08-19
1850028590,129515,2022-04-12
0821898103,333273,2022-10-05
0822235064,480091,2023-02-26
0822215869,154289,2022-06-13
0822244274,85404,2021-09-16
0821590603,139755,2022-05-26
0821590603,130524,2022-04-16
1850038923,112784,2022-01-24
0821705510,886571,2025-06-01
0822254234,529177,2023-04-27
0821898621,681588,2023-10-07
0821928473,913222,2025-08-26
0821706609,166593,2022-07-03
0821927378,108207,2021-12-27
0822253372,180506,2022-07-27
0821591164,259565,2022-08-29
0822315526,78414,2021-08-25
0821538925,4313,2020-08-24
0821589834,18734,2020-11-09
0822244550,80616,2021-08-29
V9E0011823,854308,2025-02-17
0821541494,687760,2023-10-15
1850038971,130042,2022-04-13
1850041724,702696,2023-11-12
1850049113,810106,2024-09-02
0821579988,18673,2020-11-09
0821589342,16178,2020-10-30
0821896181,357169,2022-10-25
0821705775,814928,2024-09-22
1850039075,106026,2021-12-15
0822234541,93758,2021-10-20
0821587620,700935,2023-11-06
0822297789,82486,2021-09-06
0821298521,5133,2020-08-31
0821386224,2136,2020-06-30
0821538318,76708,2021-08-18
1850077742,91865,2021-10-13
1850082387,127161,2022-03-29
1850049238,846285,2025-01-20
1850074596,456689,2023-01-24
1850030773,866980,2025-03-26
0822297789,903301,2025-07-27
1850108606,90596,2021-10-09
1850048378,869793,2025-04-09
0822312074,83779,2021-09-11
1850039877,90023,2021-10-05
0822315008,918022,2025-09-11
0822295868,75569,2021-08-15
0821892570,841401,2024-12-31
0822065589,780549,2024-04-21
0821936135,105385,2021-12-12
0821539145,133628,2022-05-10
0821588896,849046,2025-01-30
0821539263,6704,2020-09-17
0822234436,885939,2025-05-30
0821537765,35390,2021-02-21
1850109096,706590,2023-11-27
0821385806,356260,2022-10-24
0821298623,649734,2023-08-23
0821705751,12751,2020-10-20
0821211012,1427,2020-03-25
0821539997,873132,2025-04-22
0822234561,885732,2025-05-29
0821589850,637779,2023-08-05
0821929769,125047,2022-03-19
0821589262,837860,2024-12-18
0821871332,115970,2022-02-08
1850049115,805663,2024-08-13
1850079601,851639,2025-02-09
0822313269,512349,2023-04-13
0821706804,915669,2025-09-03
1850077087,305689,2022-09-17
0821706340,11089,2020-10-13
